epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3471.04,1.00648,0.40904,1.04871,0.9972,0.99783,0.99434,0.72415,0.99935,0.34429,1.01937,0.000809439,0.000809439,0.000809439
43,3554.67,1.01187,0.40887,1.04971,0.99659,0.99731,0.99454,0.71915,1.00009,0.34604,1.01926,0.000777093,0.000777093,0.000777093
44,3638.33,1.00419,0.40638,1.04543,0.99685,0.99814,0.99464,0.72842,1.00701,0.34378,1.01845,0.000744847,0.000744847,0.000744847
45,3721.23,1.00359,0.40127,1.04535,0.99765,0.99783,0.99422,0.72998,0.99638,0.33992,1.0283,0.000712751,0.000712751,0.000712751
46,3804.71,1.0013,0.40661,1.04427,0.99625,0.99721,0.99448,0.72325,0.99992,0.34128,1.01533,0.000680853,0.000680853,0.000680853
47,3888.65,0.99644,0.40116,1.04004,0.99685,0.9981,0.99436,0.73583,0.98124,0.33556,1.0123,0.000649204,0.000649204,0.000649204
48,3972.52,1.00162,0.4001,1.04354,0.99722,0.99842,0.9943,0.73422,0.98669,0.33291,1.01649,0.000617852,0.000617852,0.000617852
49,4055.98,0.99167,0.39394,1.03724,0.99607,0.99814,0.99431,0.72681,1.00924,0.3376,1.01486,0.000586845,0.000586845,0.000586845
50,4138.89,0.99636,0.39559,1.03983,0.99731,0.99744,0.99436,0.73649,0.98775,0.33391,1.0111,0.000556231,0.000556231,0.000556231
51,4222.46,0.99087,0.39497,1.03763,0.9977,0.99778,0.99443,0.73153,0.97846,0.33398,1.01011,0.000526058,0.000526058,0.000526058
52,4306.06,0.99076,0.39102,1.03811,0.9971,0.99731,0.99429,0.73065,0.99127,0.33404,1.00961,0.000496372,0.000496372,0.000496372
53,4389.85,0.98805,0.39539,1.0359,0.99721,0.99783,0.99427,0.72782,0.98098,0.33057,1.01246,0.000467218,0.000467218,0.000467218
54,4473.71,0.98595,0.38779,1.03926,0.99676,0.99758,0.99437,0.73387,0.98907,0.33362,1.01172,0.000438642,0.000438642,0.000438642
55,4557.03,0.98512,0.38631,1.03803,0.9961,0.99783,0.99444,0.73705,0.987,0.3317,1.01159,0.000410687,0.000410687,0.000410687
56,4640.78,0.98188,0.38971,1.03383,0.9973,0.99814,0.99452,0.73631,0.98393,0.33398,1.01142,0.000383398,0.000383398,0.000383398
57,4724.27,0.9803,0.3853,1.03286,0.99698,0.99814,0.99447,0.73633,0.9754,0.33064,1.0099,0.000356815,0.000356815,0.000356815
58,4807.84,0.97328,0.38342,1.03049,0.99712,0.99724,0.9945,0.7382,0.97434,0.33051,1.01007,0.00033098,0.00033098,0.00033098
59,4891.4,0.97781,0.38671,1.03365,0.99638,0.99763,0.99458,0.73117,0.98501,0.33264,1.01368,0.000305933,0.000305933,0.000305933
60,4974.9,0.97209,0.38418,1.03103,0.99704,0.99783,0.99458,0.7317,0.97855,0.33428,1.01108,0.000281712,0.000281712,0.000281712
61,5058.84,0.96992,0.38381,1.03126,0.99755,0.99814,0.99455,0.73208,0.9742,0.3292,1.01427,0.000258355,0.000258355,0.000258355
62,5142.86,0.97247,0.38117,1.03329,0.99813,0.99845,0.99456,0.73409,0.97517,0.32678,1.01089,0.000235898,0.000235898,0.000235898
63,5226.95,0.9674,0.38109,1.02917,0.99735,0.99783,0.99457,0.7332,0.97601,0.32969,1.01016,0.000214375,0.000214375,0.000214375
64,5309.84,0.96833,0.3806,1.03241,0.99733,0.99815,0.99457,0.7337,0.97354,0.32895,1.0111,0.000193819,0.000193819,0.000193819
65,5393.35,0.96593,0.37878,1.03015,0.99734,0.9978,0.99446,0.73575,0.97618,0.32907,1.01222,0.000174262,0.000174262,0.000174262
66,5477.75,0.96185,0.37619,1.0269,0.99755,0.99814,0.99446,0.73653,0.97559,0.32869,1.01139,0.000155735,0.000155735,0.000155735
67,5561.97,0.96172,0.37458,1.02942,0.99755,0.99844,0.9945,0.73596,0.97304,0.32787,1.00982,0.000138266,0.000138266,0.000138266
68,5645.23,0.9589,0.37221,1.02692,0.99707,0.99752,0.99441,0.73406,0.97039,0.32445,1.01018,0.000121882,0.000121882,0.000121882
69,5727.24,0.95781,0.3724,1.02699,0.99698,0.99794,0.99437,0.7388,0.97321,0.3254,1.00952,0.000106608,0.000106608,0.000106608
70,5810.98,0.95879,0.37044,1.02639,0.99723,0.99752,0.99445,0.73511,0.97464,0.32684,1.01172,9.2467e-05,9.2467e-05,9.2467e-05
71,5901.94,0.93812,0.33832,1.01802,0.9969,0.99835,0.99445,0.72738,0.97702,0.32827,1.01139,7.94819e-05,7.94819e-05,7.94819e-05
72,5984.03,0.93058,0.33301,1.01192,0.99736,0.99805,0.99435,0.72977,0.97402,0.32873,1.01145,6.76723e-05,6.76723e-05,6.76723e-05
73,6066.22,0.92601,0.33143,1.00716,0.99671,0.9977,0.99443,0.72926,0.97618,0.32704,1.01059,5.70564e-05,5.70564e-05,5.70564e-05
74,6148.21,0.9249,0.33067,1.00873,0.99675,0.99752,0.99446,0.73198,0.97617,0.32703,1.00887,4.76506e-05,4.76506e-05,4.76506e-05
75,6230.18,0.9229,0.32976,1.00812,0.99698,0.99752,0.99445,0.73177,0.97353,0.32596,1.00947,3.94694e-05,3.94694e-05,3.94694e-05
76,6312.83,0.92413,0.33038,1.00672,0.99681,0.99783,0.99441,0.73128,0.97278,0.32641,1.01025,3.25253e-05,3.25253e-05,3.25253e-05
77,6394.69,0.92107,0.32865,1.00948,0.99693,0.99814,0.99443,0.73164,0.97204,0.32511,1.00923,2.68292e-05,2.68292e-05,2.68292e-05
78,6476.29,0.91972,0.32818,1.00776,0.99736,0.99772,0.99441,0.73257,0.97069,0.32498,1.00898,2.23897e-05,2.23897e-05,2.23897e-05
79,6558.4,0.92208,0.32853,1.00685,0.99723,0.99783,0.99443,0.73171,0.97036,0.32499,1.00891,1.92137e-05,1.92137e-05,1.92137e-05
80,6640.35,0.91765,0.32761,1.0059,0.99721,0.99783,0.99441,0.73275,0.97069,0.32548,1.00885,1.73062e-05,1.73062e-05,1.73062e-05
