,count
ก,169
ข,104
ค,15
ฆ,7
ง,24
จ,11
ฉ,13
ช,0
ซ,0
ฌ,10
ญ,14
ฎ,16
ฏ,0
ฐ,10
ฑ,0
ฒ,49
ณ,4
ด,5
ต,17
ถ,0
ท,17
ธ,12
น,20
บ,30
ป,0
ผ,11
ฝ,0
พ,15
ฟ,1
ภ,0
ม,11
ย,23
ร,13
ล,19
ว,11
ศ,0
ษ,17
ส,16
ห,9
ฬ,7
อ,15
ฮ,13
