epoch,train_loss,train_acc,val_loss,val_acc,secs
1,1.9673034269770566,0.5362967609489051,0.044680494551475235,0.9870512832128084,259.6216161251068
2,0.23253135205022174,0.9307923699817519,0.040583349160659005,0.987115385776911,219.48945355415344
3,0.14621503960449983,0.9559976619525548,0.020443871393799783,0.9947435908439832,221.4002640247345
4,0.10884463207891387,0.9666186701642335,0.015339447016326281,0.9950000010392605,223.84757328033447
5,0.09034182292062544,0.9721857892335767,0.010332961925424827,0.9973076932858198,224.9113347530365
6,0.0769475038421687,0.9758211678832117,0.01153780797830759,0.9964102574495168,222.4552493095398
7,0.06935220601608175,0.9782091126824818,0.008354877082822032,0.9977564112345377,219.97929048538208
8,0.057276857173899666,0.9818658759124088,0.006125514899643186,0.9980769230769231,221.45667266845703
9,0.05177361747746213,0.9836122833029197,0.0060269425645133315,0.9983333343114609,220.36053252220154
10,0.047187292369262716,0.984645871350365,0.004711840562462711,0.998525641025641,217.8295819759369
11,0.042624713253930045,0.9860643818430657,0.003511627134628212,0.9987820522601788,216.25656127929688
12,0.03776692712074486,0.987596943430657,0.0035936922948204505,0.9991666666666666,218.1851511001587
13,0.03127866279100999,0.989571453010949,0.003355940675317423,0.9989743589743589,215.48139643669128
14,0.027931551682043917,0.9905551437043796,0.0030493281020514983,0.9991025641025642,217.07203817367554
15,0.02583101463340984,0.991439039689781,0.001886828450226928,0.999423076923077,217.58433294296265
16,0.0235978905156163,0.9918025775547445,0.0015594777982131255,0.9995512820512821,219.30810356140137
17,0.02129375526732952,0.9926294479927007,0.001708029107088432,0.999423076923077,214.64558005332947
18,0.01965431980097226,0.9932781135948905,0.0017127115805077408,0.999423076923077,216.4557604789734
19,0.018298781959995982,0.9937485743613139,0.001756092662830596,0.999423076923077,214.21500182151794
